,TICKER,SOURCE,TICKER_TYPE,DESCRIPTION,QUAD_PROB_MASK,QUAD1_GOLDILOCKS,QUAD2_REFLATION,QUAD3_STAGFLATION,QUAD4_DEFLATION,LABEL,15min_length,60min_length,daily_length
0,XLV,YAHOO,ETF,Health Care Select Sector SPDR Fund,1,0,0,0,1,ETF : XLV,540,435,496
1,XLP,YAHOO,ETF,SPDR S&P - Consumer Staples ,1,0,0,0,1,ETF : XLP,540,435,496
2,XLU,YAHOO,ETF,SPDR S&P - Utilities ,1,0,0,1,1,ETF : XLU,540,435,496
3,XLK,YAHOO,ETF,SPDR S&P - Technology,1,1,1,1,0,ETF : XLK,540,435,496
4,XLY,YAHOO,ETF,SPDR S&P - Consumer Discretionary,1,1,1,0,0,ETF : XLY,540,435,496
5,XLB,YAHOO,ETF,SPDR S&P - Materials,1,1,0,0,0,ETF : XLB,540,435,496
6,XLI,YAHOO,ETF,SPDR S&P - Industrials,1,1,1,0,0,ETF : XLI,540,435,496
7,XLE,YAHOO,ETF,SPDR S&P - Energy,1,0,1,1,0,ETF : XLE,540,435,496
8,XLF,YAHOO,ETF,SPDR S&P - Financials,1,1,1,0,0,ETF : XLF,540,435,496
9,XOP,YAHOO,ETF,SPDR S&P - Oil & Gas,1,1,0,0,0,ETF : XOP,540,435,496
10,QQQ,YAHOO,ETF,Invesco NASDAQ 100 Trust,1,1,0,1,0,ETF : QQQ,540,435,496
11,HG=F,YAHOO,COMMODITY,Copper CMX Futures,1,1,0,0,0,COMMODITY : HG=F,993,993,498
12,NG=F,YAHOO,COMMODITY,Natgas NYM Futures,1,1,0,0,0,COMMODITY : NG=F,993,993,498
13,CL=F,YAHOO,COMMODITY,Crude Oil NYM Futures,1,1,0,0,0,COMMODITY : CL=F,993,993,498
14,SPHB,YAHOO,ETF,Invesco S&P 500 High Beta,1,1,1,0,0,ETF : SPHB,539,435,496
15,SPLV,YAHOO,ETF,Invesco S&P 500 Low Volatility,1,0,0,0,1,ETF : SPLV,540,435,496
16,MTUM,YAHOO,ETF,iShares MSCI USA Momentum Factor,1,1,1,0,0,ETF : MTUM,540,435,496
17,IWF,YAHOO,ETF,iShares Russell 1000 Growth,1,0,1,0,0,ETF : IWF,540,435,496
18,IWM,YAHOO,ETF,iShares Russell 2000,1,1,1,0,0,ETF : IWM,540,435,496
19,MDY,YAHOO,ETF,SPDR S&P MIDCAP 400,1,1,0,0,0,ETF : MDY,540,435,496
20,CWB,YAHOO,ETF,SPDR Bloomberg Barclays Convertible Securities,1,1,1,0,0,ETF : CWB,540,435,496
21,HYG,YAHOO,ETF,iShares iBoxx High Yield Corporate Bond,1,1,0,0,0,ETF : HYG,540,435,496
22,BKLN,YAHOO,ETF,Invesco Senior Loan,1,1,1,0,0,ETF : BKLN,540,435,496
23,BIZD,YAHOO,ETF,VanEck Vectors BDC Income,1,1,1,0,0,ETF : BIZD,540,435,496
24,FXE,YAHOO,ETF,Invesco CurrencyShares Euro Currency Trust,1,1,0,0,0,ETF : FXE,523,435,496
25,JJC,YAHOO,ETF,iPath Series B Bloomberg Copper Subindex Total Return ETN,1,1,0,0,0,ETF : JJC,303,390,496
26,PFF,YAHOO,ETF,iShares Preferred and Income Securities,1,0,1,0,0,ETF : PFF,540,435,496
27,USO,YAHOO,ETF,United States Oil Fund,1,0,1,1,0,ETF : USO,540,435,496
28,VNQ,YAHOO,ETF,Vanguard Real Estate Index Fund,1,0,0,1,1,ETF : VNQ,540,435,496
29,UNG,YAHOO,ETF,United States Natural Gas Fund,1,1,0,0,0,ETF : UNG,540,435,496
30,MUB,YAHOO,ETF,iShares National Muni Bond,1,0,0,1,0,ETF : MUB,540,435,496
31,MBB,YAHOO,ETF,iShares MBS,1,0,0,0,1,ETF : MBB,540,435,496
32,SHY,YAHOO,ETF,iShares 1-3 Year Treasury Bond,1,0,0,0,1,ETF : SHY,540,400,496
33,IEF,YAHOO,ETF,iShares 7-10 Year Treasury Bond,1,0,0,0,1,ETF : IEF,540,435,496
34,TLT,YAHOO,ETF,iShares 20+ Year Treasury Bond ETF,1,0,0,1,1,ETF : TLT,540,435,496
35,TIP,YAHOO,ETF,iShares TIPS Bond,1,0,0,1,0,ETF : TIP,540,435,496
36,LQD,YAHOO,ETF,iShares iBoxx $ Investment Grade Corporate Bond,1,0,0,1,0,ETF : LQD,540,435,496
37,UDN,YAHOO,ETF,Invesco DB US Dollar Index Bearish Fund,1,0,0,1,0,ETF : UDN,526,435,496
38,SDY,YAHOO,ETF,SPDR S&P Dividend,1,0,0,0,1,ETF : SDY,540,435,496
39,QUAL,YAHOO,ETF,iShares MSCI USA Quality Factor,1,0,0,0,1,ETF : QUAL,540,435,496
40,UUP,YAHOO,ETF,Invesco DB US Dollar Index Bullish Fund,1,0,0,0,1,ETF : UUP,540,435,496
41,GDX,YAHOO,ETF,VanEck Vectors Gold Miners ETF,1,0,0,1,0,ETF : GDX,540,435,496
42,GDXJ,YAHOO,ETF,VanEck Vectors Junior Gold Miners ETF,1,0,0,1,0,ETF : GDXJ,540,435,496
43,GLD,YAHOO,ETF,SPDR Gold Trust,1,0,0,0,1,ETF : GLD,540,435,496
44,VIXM,YAHOO,ETF,ProShares VIX Mid-Term Futures ETF,1,0,0,1,1,ETF : VIXM,413,433,496
45,VIXY,YAHOO,ETF,ProShares VIX Short-Term Futures ETF,1,0,0,1,1,ETF : VIXY,540,435,496
46,BTC-USD,YAHOO,CRYPTO,Bitcoin USD,1,1,1,0,0,CRYPTO : BTC-USD,993,993,723
47,ETH-USD,YAHOO,CRYPTO,Ethereum USD,1,1,1,0,0,CRYPTO : ETH-USD,993,993,723
48,USDT-USD,YAHOO,CRYPTO,Tether USD,0,1,1,0,0,CRYPTO : USDT-USD,993,993,723
49,ADA-USD,YAHOO,CRYPTO,Cardano USD,0,1,1,0,0,CRYPTO : ADA-USD,993,993,723
50,BNB-USD,YAHOO,CRYPTO,BinanceCoin USD,0,1,1,0,0,CRYPTO : BNB-USD,993,993,723
51,DOGE-USD,YAHOO,CRYPTO,Dogecoin USD,0,1,1,0,0,CRYPTO : DOGE-USD,993,993,723
52,XRP-USD,YAHOO,CRYPTO,XRP USD,0,1,1,0,0,CRYPTO : XRP-USD,993,993,723
53,XMR-USD,YAHOO,CRYPTO,Monero USD,0,1,1,0,0,CRYPTO : XMR-USD,993,993,723
