,LABEL,1d_Hurst,1d_FDI,lower_range,upper_range,VWAP_spot,z_score,partiality,15p_geomean,trend
0,ETF : XLV,0.30091431509896327,1.6990856849010367,129.9185436858816,143.3438316359292,135.72313652910057,-0.1352747345432698,43.24% | 56.76%,6e-06,MEAN REVERTING
1,ETF : XLP,0.39910831759007087,1.600891682409929,71.40003414101035,79.08022648887264,77.17379725523817,0.5035464875654823,75.18% | 24.82%,0.00072,MEAN REVERTING
2,ETF : XLU,0.3728101743983587,1.6271898256016413,65.80253861781223,72.96993699934102,70.03226414594836,0.18026801441276696,59.01% | 40.99%,0.000151,MEAN REVERTING
3,ETF : XLK,0.5922850483591628,1.4077149516408372,155.00939353797244,185.2978863529482,167.11603482301877,-0.20057816286848423,39.97% | 60.03%,0.000549,BULLISH
4,ETF : XLY,0.6120110982698914,1.3879889017301086,180.3530064703195,224.51469900649917,200.77579396748425,-0.07509036342149808,46.25% | 53.75%,0.001005,BULLISH
5,ETF : XLB,0.4096973361522189,1.590302663847781,82.87926793035064,94.51083210143423,89.71025366669075,0.17456012551125982,58.73% | 41.27%,0.000557,MEAN REVERTING
6,ETF : XLI,0.40419169536131,1.59580830463869,100.89674567526163,108.96136922357758,106.25767991106098,0.3294939816301321,66.47% | 33.53%,0.000233,MEAN REVERTING
7,ETF : XLE,0.5834150260043681,1.416584973995632,50.14201672906927,66.34174303152457,61.44194214296643,0.39507608991943227,69.75% | 30.25%,0.002664,BULLISH
8,ETF : XLF,0.5555294879612661,1.444470512038734,37.57267766498482,42.38606509884599,40.98190622795885,0.41656104347255507,70.83% | 29.17%,0.000778,BULLISH
9,ETF : XOP,0.5504520605066653,1.4495479394933346,79.95551539924493,121.60684291711037,105.89166980816334,0.24539389040090775,62.27% | 37.73%,0.002663,BULLISH
10,ETF : QQQ,0.4768873314263796,1.5231126685736203,363.80808037929523,417.61284702600506,383.10436782624356,-0.2827294438929306,35.86% | 64.14%,7.7e-05,BROWNIAN
11,COMMODITY : HG=F,0.3434798582997332,1.6565201417002668,4.175958465435423,4.585023594594629,4.4387264198586545,0.2847242929913168,64.24% | 35.76%,0.000372,MEAN REVERTING
12,COMMODITY : NG=F,0.5312712583805707,1.4687287416194295,2.522832837764602,5.387238817453502,4.243362449846717,0.201316869383843,60.07% | 39.93%,-0.001249,BROWNIAN
13,COMMODITY : CL=F,0.29905417748409224,1.7009458225159078,64.55570428240792,85.940761298758,80.39975042734332,0.4817866637270813,74.09% | 25.91%,0.001741,MEAN REVERTING
14,ETF : SPHB,0.5068412860247402,1.4931587139752598,72.68185806265085,84.65118206104616,79.06586590905347,0.06672822078481769,53.34% | 46.66%,0.00064,BROWNIAN
15,ETF : SPLV,0.38744512630612066,1.6125548736938793,63.37442986562024,70.10613052407854,67.35404857790155,0.1823516564958868,59.12% | 40.88%,0.000545,MEAN REVERTING
16,ETF : MTUM,0.5557381573858701,1.44426184261413,168.40021239105403,189.40664647261804,175.84694089430675,-0.2910049869160572,35.45% | 64.55%,-0.000427,BEARISH
17,ETF : IWF,0.45872335141059034,1.5412766485894096,280.08072227532466,319.7466238967329,292.86390370632216,-0.35545741261566377,32.23% | 67.77%,4.7e-05,BROWNIAN
18,ETF : IWM,0.3921251727271254,1.6078748272728747,208.3320310398615,233.39793549320413,217.1361376877726,-0.2975233218255545,35.12% | 64.88%,-0.000483,MEAN REVERTING
19,ETF : MDY,0.41622490567478865,1.5837750943252114,483.8455459618691,537.3181807407783,510.1251154136729,-0.017083427421868528,49.15% | 50.85%,0.000178,MEAN REVERTING
20,ETF : CWB,0.4434018207739937,1.5565981792260062,78.45913723061855,87.19443601425823,80.26914455579562,-0.5855877698042735,20.72% | 79.28%,-0.001019,MEAN REVERTING
21,ETF : HYG,0.49512229775710004,1.5048777022428999,85.38246223883856,87.66925692217684,86.13643777727532,-0.3405830930688528,32.97% | 67.03%,-0.000234,BROWNIAN
22,ETF : BKLN,0.3917046747688514,1.6082953252311487,21.89121922371524,22.19582368954901,22.104992103124296,0.4036096209155245,70.18% | 29.82%,-3.9e-05,MEAN REVERTING
23,ETF : BIZD,0.44285762338501555,1.5571423766149843,16.927033445132466,17.707391090373328,17.562468049149537,0.62857276504529,81.43% | 18.57%,0.000213,MEAN REVERTING
24,ETF : FXE,0.7499857279358721,1.2500142720641279,101.22510859262214,109.4963402408611,105.56928284120646,0.05042983520096297,52.52% | 47.48%,-0.000506,BEARISH
25,ETF : JJC,0.43293312752282165,1.5670668724771784,20.949498755361763,23.10932858283908,22.30820778185819,0.2581630360049251,62.91% | 37.09%,0.000383,MEAN REVERTING
26,ETF : PFF,0.18583408811551072,1.8141659118844893,38.320026688106886,39.44256582277077,38.708480739922265,-0.3079010970398044,34.6% | 65.4%,-0.000195,MEAN REVERTING
27,ETF : USO,0.44718626885535206,1.552813731144648,47.019333597668144,61.61823117336095,57.27672232878131,0.4052278506552087,70.26% | 29.74%,0.001899,MEAN REVERTING
28,ETF : VNQ,0.39591147996060727,1.6040885200393928,106.61912589364452,118.10272539214502,111.19541476740103,-0.20298702957133385,39.85% | 60.15%,0.000169,MEAN REVERTING
29,ETF : UNG,0.5471282427034109,1.452871757296589,7.850212925815273,18.148671370027166,14.150402864319924,0.2235209711499268,61.18% | 38.82%,-0.00154,BROWNIAN
30,ETF : MUB,0.6622738754848736,1.3377261245151264,114.73768059213383,117.28465809676881,115.70854188257196,-0.23763654082427757,38.12% | 61.88%,-0.000116,BEARISH
31,ETF : MBB,0.7252817411628826,1.2747182588371175,105.72472180324506,107.8300118054403,106.40138240304744,-0.35718062680504264,32.14% | 67.86%,-0.000224,BEARISH
32,ETF : SHY,0.8277410520495643,1.1722589479504357,84.7507230148609,85.86807994747507,85.2658536408419,-0.07794794851131381,46.1% | 53.9%,-0.000127,BEARISH
33,ETF : IEF,0.622269874234531,1.377730125765469,111.72058692254227,116.68787501573969,113.06453266829669,-0.4588814980975536,27.06% | 72.94%,-0.000389,BEARISH
34,ETF : TLT,0.29610847987366873,1.7038915201263314,143.3848185229592,152.2216353476115,143.08630074123198,-1.0675622880162978,-3.38% | 103.38%,-0.000416,MEAN REVERTING
35,ETF : TIP,0.4136325893764772,1.5863674106235228,126.79003204188355,129.81749831705,126.6200131152264,-1.112317635411354,-5.62% | 105.62%,-0.0002,MEAN REVERTING
36,ETF : LQD,0.5386104461161497,1.4613895538838504,128.85568193499446,134.43556634957022,130.0779895378056,-0.5618878413974958,21.91% | 78.09%,-0.000421,BROWNIAN
37,ETF : UDN,0.7666210928385803,1.2333789071614198,19.498811500792957,20.90350613554261,20.258549663211987,0.08171291272060938,54.09% | 45.91%,-0.000419,BEARISH
38,ETF : SDY,0.4363374529248545,1.5636625470751455,122.5230980657205,133.59816427330898,130.38620379531068,0.4199654579405546,71.0% | 29.0%,0.000542,MEAN REVERTING
39,ETF : QUAL,0.4509975635533868,1.5490024364466133,135.5508022365454,150.47156562357276,141.21045187153013,-0.24137264452495377,37.93% | 62.07%,4.8e-05,BROWNIAN
40,ETF : UUP,0.6995404302969706,1.3004595697030294,24.9583092703594,26.42004612272192,25.560971242423506,-0.1754165996566925,41.23% | 58.77%,0.000324,BULLISH
41,ETF : GDX,0.3708386056010789,1.6291613943989212,28.271498956829955,33.71943829604527,30.68242369047402,-0.11492232804805111,44.25% | 55.75%,-0.000676,MEAN REVERTING
42,ETF : GDXJ,0.338087629844444,1.661912370155556,36.48599580548186,45.25459034125463,40.11581428115676,-0.17208659589252984,41.4% | 58.6%,-0.000776,MEAN REVERTING
43,ETF : GLD,0.3993481743246621,1.600651825675338,163.63004147219576,172.7135297155459,168.74678761661986,0.1266037908223158,56.33% | 43.67%,-3.4e-05,MEAN REVERTING
44,ETF : VIXM,0.300343282881187,1.699656717118813,29.651545861284184,32.61950718621812,30.44681629290526,-0.4640964995466857,26.8% | 73.2%,-3.5e-05,MEAN REVERTING
45,ETF : VIXY,0.6436117853372004,1.3563882146627995,9.417123687265683,21.59034273571276,15.292479582893279,-0.03470793185519683,48.26% | 51.74%,-0.003422,BEARISH
46,CRYPTO : BTC-USD,0.7093339944274364,1.2906660055725636,26337.11471170742,59519.774283888655,42775.96016421294,-0.009190603498999344,49.54% | 50.46%,-0.003788,BEARISH
47,CRYPTO : ETH-USD,0.7111774572394848,1.2888225427605153,1889.8153774964394,4647.1943311045,3242.8415265675994,-0.01861429144462671,49.07% | 50.93%,-0.001671,BEARISH
48,CRYPTO : USDT-USD,0.3809517590062427,1.6190482409937572,0.9994956107794235,1.001148056761369,1.0003781041660464,0.06810557956502296,53.41% | 46.59%,5e-06,MEAN REVERTING
49,CRYPTO : ADA-USD,0.6545653731340153,1.3454346268659847,0.2432326911311289,2.248494296913094,1.2595414173097612,0.013642033785727235,50.68% | 49.32%,-0.006058,BEARISH
50,CRYPTO : BNB-USD,0.6329652046371683,1.3670347953628317,276.3841666438734,662.2187108791024,454.186933867352,-0.07834707970015847,46.08% | 53.92%,2.2e-05,BULLISH
51,CRYPTO : DOGE-USD,0.570583878948648,1.4294161210513519,0.08226512627269163,0.2548771469204956,0.1733949577497147,0.05589206516461051,52.79% | 47.21%,-0.003674,BEARISH
52,CRYPTO : XRP-USD,0.6026827542635701,1.39731724573643,0.4217326594287936,1.1515179149850372,0.7679999797997514,-0.05104325489000928,47.45% | 52.55%,-0.00421,BEARISH
53,CRYPTO : XMR-USD,0.5025966679283673,1.4974033320716327,143.45786045761417,273.37954204014454,209.68908116522468,0.0195560879580878,50.98% | 49.02%,-0.002701,BROWNIAN
